container_chain,depth,parent_narc_path,parent_file_id,rom_offset,size,sha256,bom,version,declared_file_size,header_size,block_count,member_count,named_member_count,validation
/a/0/0/0,0,/a/0/0/0,129,18805760,6416,dfd0bd6f4d6e909790512fc9f5e0cbc70db282948ca622bcf13914866b7e2532,0xfffe,0x0100,6416,16,3,501,0,valid
/a/0/0/1,0,/a/0/0/1,130,18812416,53904,4bdd8f93da7831add2db84671be9cc4c5d3ab2f981c391f3f84ad4b451cc08aa,0xfffe,0x0100,53904,16,3,297,0,valid
/a/0/0/2,0,/a/0/0/2,131,18866688,26468,6e533889d97eee45db41affe61ceec2e05d7e8dac54126adefbb65eb1f664197,0xfffe,0x0100,26468,16,3,508,0,valid
/a/0/0/3,0,/a/0/0/3,132,18893312,3348,ce5c612e32e537da3cdf7808c3f21ab217e83a75ead56027d98a7d84bb1b55d6,0xfffe,0x0100,3348,16,3,8,0,valid
/a/0/0/4,0,/a/0/0/4,133,18896896,11778676,e8ae001c0a342e947494b6a0f49a95cdb13f6016b83821a4865edc36ff064ac2,0xfffe,0x0100,11778676,16,3,2964,0,valid
/a/0/0/5,0,/a/0/0/5,134,30675968,23108,d70a472fa68f89294c606f875233d9b234eb0a463d3c09eb8b1c4c85ae382b3d,0xfffe,0x0100,23108,16,3,1976,0,valid
/a/0/0/6,0,/a/0/0/6,135,30699520,523924,52f8fecd7da9cf81ab0218a049c0d9a1f3c670ee246390a2b3854fa6aa79d7fc,0xfffe,0x0100,523924,16,3,85,0,valid
/a/0/0/7,0,/a/0/0/7,136,31223808,797708,ad5e72e1124bc8c8ec267064f42287223c1b6d309055f5634774a8c8e4a925f4,0xfffe,0x0100,797708,16,3,351,0,valid
/a/0/0/8,0,/a/0/0/8,137,32022016,121568,6a2479d442419ad1c181e14420649abd1e4253ec361d7d91ca36fb843cea15b6,0xfffe,0x0100,121568,16,3,346,0,valid
/a/0/0/9,0,/a/0/0/9,138,32143872,15284,fb753b66099f9e9077613f86ff1c1d8e4ccbf701d6d0fa6ad580cf46a9e65082,0xfffe,0x0100,15284,16,3,32,0,valid
/a/0/1/0,0,/a/0/1/0,139,32159232,255632,4a69ebb45bd7bc67d2342acb24d62a7a388f5792f1448426f3860e9fd89516f8,0xfffe,0x0100,255632,16,3,501,0,valid
/a/0/1/1,0,/a/0/1/1,140,32415232,11356,654d7edd0b0be66f6189ee87026dd701a2b8d98afa19a3991c8417803c50faea,0xfffe,0x0100,11356,16,3,471,0,valid
/a/0/1/2,0,/a/0/1/2,141,32427008,372012,bab429408b962c513d3e3ba89f67d8d74d6824563cd30fc317d473edacd05d18,0xfffe,0x0100,372012,16,3,965,0,valid
/a/0/1/3,0,/a/0/1/3,142,32799232,6748,89e84ab4475c85ad4358761c89c69c16f51c024041d2081a1da6ad1ad51b7cba,0xfffe,0x0100,6748,16,3,16,0,valid
/a/0/1/4,0,/a/0/1/4,143,32806400,24996,f8cb6ab93fc08f5394425f050cbf9c71b92d65f64ca1e30d8414a69948771a4e,0xfffe,0x0100,24996,16,3,78,0,valid
/a/0/1/5,0,/a/0/1/5,144,32831488,274376,b48c6ff7cf784b4cca74a920b90bb6cc67087464b11cb437abcf14528b291ca3,0xfffe,0x0100,274376,16,3,95,0,valid
/a/0/1/6,0,/a/0/1/6,145,33105920,1201508,58638e5171d526c59595ecd229b9be6fd3e0a8462688b1ced8dacae85ab0a56f,0xfffe,0x0100,1201508,16,3,13,0,valid
/a/0/1/7,0,/a/0/1/7,146,34307584,22668,577631590698709a75a7142da8a037e1641b8c41ac4cf9dd481de3f3d4e3a29c,0xfffe,0x0100,22668,16,3,514,0,valid
/a/0/1/8,0,/a/0/1/8,147,34330624,448456,abaa10233234c73bff7568be751482083d64b2b4e195b266e4b3db0c8b8b5704,0xfffe,0x0100,448456,16,3,797,0,valid
/a/0/1/9,0,/a/0/1/9,148,34779136,80596,f7a1a97638959a685719049a0b780686edb68704777fead790b230e10ed1df4a,0xfffe,0x0100,80596,16,3,87,0,valid
/a/0/2/0,0,/a/0/2/0,149,34860032,589656,ffc35362fa9e0880fa8023a89c34a94adbc78f06aa28ae966ff4028ad3d6b7e0,0xfffe,0x0100,589656,16,3,551,0,valid
/a/0/2/1,0,/a/0/2/1,150,35449856,51400,55abbdd5668b0bb4cffdfcb51d4c75f2ffcb612141aa4c86fea256cce62e34be,0xfffe,0x0100,51400,16,3,27,0,valid
/a/0/2/2,0,/a/0/2/2,151,35501568,33076,e6902f8f1eb1b63f9d3f23caf2e6eee4f981f6773a118324d8fff6a9559e5d68,0xfffe,0x0100,33076,16,3,37,0,valid
/a/0/2/3,0,/a/0/2/3,152,35534848,4480,31f3222bb317406d558a130bcfbff12cf49f76e05dd9f89cda8ef4e319a4a4d2,0xfffe,0x0100,4480,16,3,39,0,valid
/a/0/2/4,0,/a/0/2/4,153,35539456,5372,3dc3990ebb7ea6f86bdde80204b82a79427cae3c09d55b11a0c3c7e4aa2392e8,0xfffe,0x0100,5372,16,3,37,0,valid
/a/0/2/5,0,/a/0/2/5,154,35545088,4688,0e47c9b5f7c24199bd56d0576f276dabbf4c1d8aa68922caa3ac4ec2699d0865,0xfffe,0x0100,4688,16,3,37,0,valid
/a/0/2/6,0,/a/0/2/6,155,35550208,255536,b9e5fdc4781e07ff904efb3605eec2b94824c8ef8e4f04f7d9745612efeded99,0xfffe,0x0100,255536,16,3,236,0,valid
/a/0/2/7,0,/a/0/2/7,156,35806208,3001268,0c7ebaa0dc09164a5a012d773bb2d26a732137d9dd2c02b4ec50bf9610505224,0xfffe,0x0100,3001268,16,3,822,0,valid
/a/0/2/8,0,/a/0/2/8,157,38807552,41524,f02b453a55678f112c31b7a78b794d132b25212641a767f83f3cf42017cd704d,0xfffe,0x0100,41524,16,3,7,0,valid
/a/0/2/9,0,/a/0/2/9,158,38849536,2423552,e54dfd9750e32d09e00242c145894e8fb5ae7e80266b546a2902c12b6e7caf93,0xfffe,0x0100,2423552,16,3,486,0,valid
/a/0/3/0,0,/a/0/3/0,159,41273344,16940,5ea512d19a6f075c48227ddb13aba43e3cb7af6c6cc69695e694d59a787e1d7c,0xfffe,0x0100,16940,16,3,277,0,valid
/a/0/3/1,0,/a/0/3/1,160,41290752,16228,4306b052f2301dde0675e298ceeb9e823df5db9541ab5cce82abaa8adf1ec42d,0xfffe,0x0100,16228,16,3,19,0,valid
/a/0/3/2,0,/a/0/3/2,161,41307136,136784,70815852d040ed7831830fbec2f9e9282371ff6cf544260b900b9dcd6049c020,0xfffe,0x0100,136784,16,3,491,0,valid
/a/0/3/3,0,/a/0/3/3,162,41444352,19196,7310844ac52a8d47f6cdca31e867435ef4755778a2d35b0173a23f196e4eef5d,0xfffe,0x0100,19196,16,3,508,0,valid
/a/0/3/4,0,/a/0/3/4,163,41463808,26468,fe6e4ec493a393cac0ed89c22f7ffe00e4174fbc79025dd714188ae07b37862d,0xfffe,0x0100,26468,16,3,508,0,valid
/a/0/3/5,0,/a/0/3/5,164,41490432,1444,5ccff2254dbf1fe7df12be151d74de7b5a6c6d44c49d3a3fc0cee77419ed1fb7,0xfffe,0x0100,1444,16,3,12,0,valid
/a/0/3/6,0,/a/0/3/6,165,41491968,44940,7045d7e261b9a1674664a2e4d39f2096fb2f7fe451141bde9f505d27309db4e6,0xfffe,0x0100,44940,16,3,54,0,valid
/a/0/3/7,0,/a/0/3/7,166,41537024,29020,abf7f3444322813649e15c61601ffd669acab9b218b9fbcc7cfab80b7c63edce,0xfffe,0x0100,29020,16,3,142,0,valid
/a/0/3/8,0,/a/0/3/8,167,41566208,35372,f3eb794fe2ea3cd436ec7b3582c8b3df7340d11961c9c3a9d7e357e230289a88,0xfffe,0x0100,35372,16,3,51,0,valid
/a/0/3/9,0,/a/0/3/9,168,41602048,127152,e83530ff8e24ad7cdc88f1f46f3ce7573695e9e63dfbc5e87f39cee72c227b92,0xfffe,0x0100,127152,16,3,137,0,valid
/a/0/4/0,0,/a/0/4/0,169,41729536,2397304,c750b0cd588c9dd42dfcae5a334f2eb504c5bdc943a9f529c4479020863bee9a,0xfffe,0x0100,2397304,16,3,340,0,valid
/a/0/4/1,0,/a/0/4/1,170,44127232,12036,c7254a9e18d40b18e5acd0fe77d1a0e0519b021af05f7a5211b354158db5abdd,0xfffe,0x0100,12036,16,3,288,0,valid
/a/0/4/2,0,/a/0/4/2,171,44139520,1748,991506d5626fee587e4bf27042ae7b2945e167b89d6ec9f2d834d29e7476d58f,0xfffe,0x0100,1748,16,3,106,0,valid
/a/0/4/3,0,/a/0/4/3,172,44141568,4436,2fc8901dada240a9b4f8040a697d0eead1e33e61ec9f3c80a61cbc191f60c4c9,0xfffe,0x0100,4436,16,3,104,0,valid
/a/0/4/4,0,/a/0/4/4,173,44146176,1833748,d46dbea1b3acd0d117e616458a84aad88e2727b1c4a9f3cd662dd1a26814a853,0xfffe,0x0100,1833748,16,3,106,0,valid
